"match_id","match_date","kick_off","home_score","away_score","match_status","match_status_360","last_updated","last_updated_360","match_week","competition.competition_id","competition.country_name","competition.competition_name","season.season_id","season.season_name","home_team.home_team_id","home_team.home_team_name","home_team.home_team_gender","home_team.home_team_group","home_team.country.id","home_team.country.name","away_team.away_team_id","away_team.away_team_name","away_team.away_team_gender","away_team.away_team_group","away_team.country.id","away_team.country.name","metadata.data_version","metadata.shot_fidelity_version","metadata.xy_fidelity_version","competition_stage.id","competition_stage.name","stadium.id","stadium.name","stadium.country.id","stadium.country.name","referee.id","referee.name","referee.country.id","referee.country.name","name_home","country_home","name_away","country_away","shot_assists","shots","xg","goal_assists","goals","ownGoal"
3943077,"2024-07-15","04:15:00.000",1,0,"available","unscheduled","2024-07-15T15:50:08.671355",NA,6,223,"South America","Copa America",282,"2024",779,"Argentina","male",NA,11,"Argentina",769,"Colombia","male",NA,49,"Colombia","1.1.0","2","2",26,"Final",5337,"Hard Rock Stadium",241,"United States of America",2638,"Raphael Claus",31,"Brazil","Lionel Sebastián Scaloni","Argentina","Néstor Gabriel Lorenzo","Argentina",25,30,2.0708798854,1,1,0
3943076,"2024-07-14","03:00:00.000",2,2,"available","unscheduled","2024-07-15T07:57:02.660641",NA,6,223,"South America","Copa America",282,"2024",1833,"Canada","male",NA,40,"Canada",783,"Uruguay","male",NA,242,"Uruguay","1.1.0","2","2",25,"3rd Place Final",52985,"Bank of America Stadium",241,"United States of America",1849,"Alexis Herrera",246,"Venezuela (Bolivarian Republic)","Jesse Marsch","United States of America","Marcelo Alberto Bielsa Caldera","Argentina",16,35,10.855736391,1,11,0
3942852,"2024-07-11","03:00:00.000",0,1,"available","unscheduled","2024-07-15T18:00:33.653673",NA,5,223,"South America","Copa America",282,"2024",783,"Uruguay","male",NA,242,"Uruguay",769,"Colombia","male",NA,49,"Colombia","1.1.0","2","2",15,"Semi-finals",52985,"Bank of America Stadium",241,"United States of America",740,"César Arturo Ramos Palazuelos",147,"Mexico","Marcelo Alberto Bielsa Caldera","Argentina","Néstor Gabriel Lorenzo","Argentina",20,22,1.926524221,1,1,0
3942785,"2024-07-10","03:00:00.000",2,0,"available","unscheduled","2024-07-14T15:55:49.351182",NA,5,223,"South America","Copa America",282,"2024",779,"Argentina","male",NA,11,"Argentina",1833,"Canada","male",NA,40,"Canada","1.1.0","2","2",15,"Semi-finals",1001990,"MetLife Stadium",241,"United States of America",1776,"Piero Maza Gomez",45,"Chile","Lionel Sebastián Scaloni","Argentina","Jesse Marsch","United States of America",15,20,2.4334222074,1,2,0
3942416,"2024-07-07","01:00:00.000",5,0,"available","unscheduled","2024-07-10T06:49:40.099252",NA,4,223,"South America","Copa America",282,"2024",769,"Colombia","male",NA,49,"Colombia",798,"Panama","male",NA,176,"Panama","1.1.0","2","2",11,"Quarter-finals",118193,"State Farm Stadium",241,"United States of America",252,"Maurizio Mariani",112,"Italy","Néstor Gabriel Lorenzo","Argentina","Thomas Christiansen Tarín","Spain",9,21,2.790356088,2,5,0
3942415,"2024-07-07","04:00:00.000",0,0,"available","unscheduled","2024-07-14T15:32:06.707155",NA,4,223,"South America","Copa America",282,"2024",783,"Uruguay","male",NA,242,"Uruguay",781,"Brazil","male",NA,31,"Brazil","1.1.0","2","2",11,"Quarter-finals",1000154,"Allegiant Stadium",241,"United States of America",1120,"Darío Herrera",11,"Argentina","Marcelo Alberto Bielsa Caldera","Argentina","Dorival Silvestre Júnior","Brazil",10,28,8.357211055,0,6,0
3939986,"2024-06-30","03:00:00.000",2,0,"available","unscheduled","2024-07-10T08:52:05.304046",NA,3,223,"South America","Copa America",282,"2024",779,"Argentina","male",NA,11,"Argentina",784,"Peru","male",NA,179,"Peru","1.1.0","2","2",10,"Group Stage",5337,"Hard Rock Stadium",241,"United States of America",740,"César Arturo Ramos Palazuelos",147,"Mexico","Lionel Sebastián Scaloni","Argentina","Jorge Daniel Fossati Lurachi","Uruguay",10,19,2.2723991667,1,2,0
3939973,"2024-06-24","04:00:00.000",3,1,"available","unscheduled","2024-07-08T22:09:32.590631",NA,1,223,"South America","Copa America",282,"2024",783,"Uruguay","male",NA,242,"Uruguay",798,"Panama","male",NA,176,"Panama","1.1.0","2","2",10,"Group Stage",5337,"Hard Rock Stadium",241,"United States of America",1776,"Piero Maza Gomez",45,"Chile","Marcelo Alberto Bielsa Caldera","Argentina","Thomas Christiansen Tarín","Spain",19,30,1.902328867,3,4,0
3942229,"2024-07-06","04:00:00.000",1,1,"available","unscheduled","2024-07-13T23:56:59.669800",NA,4,223,"South America","Copa America",282,"2024",3563,"Venezuela","male",NA,246,"Venezuela (Bolivarian Republic)",1833,"Canada","male",NA,40,"Canada","1.1.0","2","2",11,"Quarter-finals",94424,"AT&T Stadium",241,"United States of America",986,"Wilton Pereira Sampaio",31,"Brazil","Fernando Ariel Batista","Argentina","Jesse Marsch","United States of America",21,43,11.6766524987,1,9,0
3942228,"2024-07-05","04:00:00.000",1,1,"available","unscheduled","2024-07-11T14:18:57.536262",NA,4,223,"South America","Copa America",282,"2024",779,"Argentina","male",NA,11,"Argentina",3565,"Ecuador","male",NA,65,"Ecuador","1.1.0","2","2",11,"Quarter-finals",118199,"NRG Stadium",241,"United States of America",1814,"Andrés Matonte",242,"Uruguay","Lionel Sebastián Scaloni","Argentina","Félix Sánchez Bas","Spain",10,26,9.299265486,2,8,0
3939985,"2024-06-30","03:00:00.000",0,0,"available","unscheduled","2024-07-11T13:26:28.603491",NA,3,223,"South America","Copa America",282,"2024",1833,"Canada","male",NA,40,"Canada",3562,"Chile","male",NA,45,"Chile","1.1.0","2","2",10,"Group Stage",4725,"Inter&Co Stadium",241,"United States of America",175,"Wilmar Alexander Roldán Pérez",49,"Colombia","Jesse Marsch","United States of America","Ricardo Alberto Gareca Nardi","Argentina",12,17,1.153503149,0,0,0
3939984,"2024-06-29","01:00:00.000",3,0,"available","unscheduled","2024-07-12T20:46:40.990417",NA,2,223,"South America","Copa America",282,"2024",769,"Colombia","male",NA,49,"Colombia",795,"Costa Rica","male",NA,54,"Costa Rica","1.1.0","2","2",10,"Group Stage",118193,"State Farm Stadium",241,"United States of America",1845,"Gustavo Tejera",242,"Uruguay","Néstor Gabriel Lorenzo","Argentina","Gustavo Julio Alfaro","Argentina",14,23,3.067612668,2,3,0
3939981,"2024-06-28","01:00:00.000",2,1,"available","unscheduled","2024-07-12T04:49:34.884245",NA,2,223,"South America","Copa America",282,"2024",798,"Panama","male",NA,176,"Panama",1839,"United States","male",NA,241,"United States of America","1.1.0","2","2",10,"Group Stage",4673,"Mercedes-Benz Stadium",241,"United States of America",1834,"Ivan Arcides Barton Cisneros",67,"El Salvador","Thomas Christiansen Tarín","Spain","Gregg Berhalter","United States of America",12,19,1.645061132,2,3,0
3939992,"2024-07-03","04:00:00.000",2,1,"available","unscheduled","2024-07-11T16:40:19.575131",NA,3,223,"South America","Copa America",282,"2024",795,"Costa Rica","male",NA,54,"Costa Rica",3567,"Paraguay","male",NA,178,"Paraguay","1.1.0","2","2",10,"Group Stage",117996,"Q2 Stadium",241,"United States of America",1501,"Yael Falcón Pérez",11,"Argentina","Gustavo Julio Alfaro","Argentina","Daniel Oscar Garnero","Argentina",11,19,1.712117254,3,3,0
3939991,"2024-07-03","04:00:00.000",1,1,"available","unscheduled","2024-07-13T19:25:51.805879",NA,3,223,"South America","Copa America",282,"2024",781,"Brazil","male",NA,31,"Brazil",769,"Colombia","male",NA,49,"Colombia","1.1.0","2","2",10,"Group Stage",1001237,"Levi''s Stadium",241,"United States of America",1847,"Jesús Valenzuela Sáez",246,"Venezuela (Bolivarian Republic)","Dorival Silvestre Júnior","Brazil","Néstor Gabriel Lorenzo","Argentina",9,20,1.8088206365,0,2,0
3939990,"2024-07-02","04:00:00.000",0,1,"available","unscheduled","2024-07-10T06:45:26.112966",NA,3,223,"South America","Copa America",282,"2024",1839,"United States","male",NA,241,"United States of America",783,"Uruguay","male",NA,242,"Uruguay","1.1.0","2","2",10,"Group Stage",1001871,"Arrowhead Stadium",241,"United States of America",2737,"Kevin Ortega",179,"Peru","Gregg Berhalter","United States of America","Marcelo Alberto Bielsa Caldera","Argentina",14,20,1.7425180892,0,1,0
3939989,"2024-07-02","04:00:00.000",1,3,"available","unscheduled","2024-07-10T17:45:43.087460",NA,3,223,"South America","Copa America",282,"2024",3564,"Bolivia","male",NA,27,"Bolivia",798,"Panama","male",NA,176,"Panama","1.1.0","2","2",10,"Group Stage",240,"Orlando City Stadium",241,"United States of America",2426,"Edina Alves Batista",31,"Brazil","Antônio Carlos Zago","Brazil","Thomas Christiansen Tarín","Spain",12,20,2.1284243063,3,4,0
3939988,"2024-07-01","03:00:00.000",0,0,"available","unscheduled","2024-07-10T06:43:35.826860",NA,3,223,"South America","Copa America",282,"2024",794,"Mexico","male",NA,147,"Mexico",3565,"Ecuador","male",NA,65,"Ecuador","1.1.0","2","2",10,"Group Stage",118193,"State Farm Stadium",241,"United States of America",1835,"Mario Alberto Escobar Toca",93,"Guatemala","Jaime Arturo Lozano Espín","Mexico","Félix Sánchez Bas","Spain",16,29,1.243475846,0,0,0
3939987,"2024-07-01","03:00:00.000",0,3,"available","unscheduled","2024-07-11T17:56:50.225876",NA,3,223,"South America","Copa America",282,"2024",2305,"Jamaica","male",NA,113,"Jamaica",3563,"Venezuela","male",NA,246,"Venezuela (Bolivarian Republic)","1.1.0","2","2",10,"Group Stage",117996,"Q2 Stadium",241,"United States of America",252,"Maurizio Mariani",112,"Italy","Heimir Hallgrímsson","Iceland","Fernando Ariel Batista","Argentina",17,25,2.381994829,3,3,0
3939983,"2024-06-29","04:00:00.000",1,4,"available","unscheduled","2024-07-09T14:25:25.481224",NA,2,223,"South America","Copa America",282,"2024",3567,"Paraguay","male",NA,178,"Paraguay",781,"Brazil","male",NA,31,"Brazil","1.1.0","2","2",10,"Group Stage",1000154,"Allegiant Stadium",241,"United States of America",1776,"Piero Maza Gomez",45,"Chile","Daniel Oscar Garnero","Argentina","Dorival Silvestre Júnior","Brazil",14,32,4.4393657909,0,5,0
3939982,"2024-06-28","04:00:00.000",5,0,"available","unscheduled","2024-07-09T15:14:11.551053",NA,2,223,"South America","Copa America",282,"2024",783,"Uruguay","male",NA,242,"Uruguay",3564,"Bolivia","male",NA,27,"Bolivia","1.1.0","2","2",10,"Group Stage",1001990,"MetLife Stadium",241,"United States of America",1852,"Juan Gabriel Benítez",178,"Paraguay","Marcelo Alberto Bielsa Caldera","Argentina","Antônio Carlos Zago","Brazil",13,22,2.371724678,5,5,0
3939980,"2024-06-27","01:00:00.000",3,1,"available","unscheduled","2024-07-11T11:05:28.290817",NA,2,223,"South America","Copa America",282,"2024",3565,"Ecuador","male",NA,65,"Ecuador",2305,"Jamaica","male",NA,113,"Jamaica","1.1.0","2","2",10,"Group Stage",1000154,"Allegiant Stadium",241,"United States of America",1773,"Cristián Garay",45,"Chile","Félix Sánchez Bas","Spain","Heimir Hallgrímsson","Iceland",18,30,3.2663414228,0,3,1
3939979,"2024-06-27","04:00:00.000",1,0,"available","unscheduled","2024-07-12T04:01:01.848254",NA,2,223,"South America","Copa America",282,"2024",3563,"Venezuela","male",NA,246,"Venezuela (Bolivarian Republic)",794,"Mexico","male",NA,147,"Mexico","1.1.0","2","2",10,"Group Stage",1001411,"SoFi Stadium",241,"United States of America",2638,"Raphael Claus",31,"Brazil","Fernando Ariel Batista","Argentina","Jaime Arturo Lozano Espín","Mexico",18,28,3.522963408,0,1,0
3939978,"2024-06-26","01:00:00.000",0,1,"available","unscheduled","2024-07-13T01:00:38.664914",NA,2,223,"South America","Copa America",282,"2024",784,"Peru","male",NA,179,"Peru",1833,"Canada","male",NA,40,"Canada","1.1.0","2","2",10,"Group Stage",4719,"Children''s Mercy Park",241,"United States of America",1835,"Mario Alberto Escobar Toca",93,"Guatemala","Jorge Daniel Fossati Lurachi","Uruguay","Jesse Marsch","United States of America",9,14,1.4854875718,1,1,0
3939977,"2024-06-26","04:00:00.000",0,1,"available","unscheduled","2024-07-10T18:09:05.408477",NA,2,223,"South America","Copa America",282,"2024",3562,"Chile","male",NA,45,"Chile",779,"Argentina","male",NA,11,"Argentina","1.1.0","2","2",10,"Group Stage",1001990,"MetLife Stadium",241,"United States of America",1814,"Andrés Matonte",242,"Uruguay","Ricardo Alberto Gareca Nardi","Argentina","Lionel Sebastián Scaloni","Argentina",20,25,2.9150485465,0,1,0
3939976,"2024-06-25","04:00:00.000",0,0,"available","unscheduled","2024-07-11T11:53:53.844903",NA,1,223,"South America","Copa America",282,"2024",781,"Brazil","male",NA,31,"Brazil",795,"Costa Rica","male",NA,54,"Costa Rica","1.1.0","2","2",10,"Group Stage",1001411,"SoFi Stadium",241,"United States of America",740,"César Arturo Ramos Palazuelos",147,"Mexico","Dorival Silvestre Júnior","Brazil","Gustavo Julio Alfaro","Argentina",14,22,1.657922703,0,0,0
3939975,"2024-06-25","01:00:00.000",2,1,"available","unscheduled","2024-07-14T17:04:40.597924",NA,1,223,"South America","Copa America",282,"2024",769,"Colombia","male",NA,49,"Colombia",3567,"Paraguay","male",NA,178,"Paraguay","1.1.0","2","2",10,"Group Stage",118199,"NRG Stadium",241,"United States of America",1120,"Darío Herrera",11,"Argentina","Néstor Gabriel Lorenzo","Argentina","Daniel Oscar Garnero","Argentina",13,22,1.449517435,3,3,0
3939974,"2024-06-24","01:00:00.000",2,0,"available","unscheduled","2024-07-10T13:06:41.582507",NA,1,223,"South America","Copa America",282,"2024",1839,"United States","male",NA,241,"United States of America",3564,"Bolivia","male",NA,27,"Bolivia","1.1.0","2","2",10,"Group Stage",94424,"AT&T Stadium",241,"United States of America",252,"Maurizio Mariani",112,"Italy","Gregg Berhalter","United States of America","Antônio Carlos Zago","Brazil",18,26,2.5543745904,2,2,0
3939972,"2024-06-23","01:00:00.000",1,2,"available","unscheduled","2024-07-12T21:31:59.102963",NA,1,223,"South America","Copa America",282,"2024",3565,"Ecuador","male",NA,65,"Ecuador",3563,"Venezuela","male",NA,246,"Venezuela (Bolivarian Republic)","1.1.0","2","2",10,"Group Stage",1001237,"Levi''s Stadium",241,"United States of America",175,"Wilmar Alexander Roldán Pérez",49,"Colombia","Félix Sánchez Bas","Spain","Fernando Ariel Batista","Argentina",7,23,2.3206101057,1,3,0
3939971,"2024-06-23","04:00:00.000",1,0,"available","unscheduled","2024-07-12T19:15:02.637961",NA,1,223,"South America","Copa America",282,"2024",794,"Mexico","male",NA,147,"Mexico",2305,"Jamaica","male",NA,113,"Jamaica","1.1.0","2","2",10,"Group Stage",118199,"NRG Stadium",241,"United States of America",438,"Ismail Elfath",241,"United States of America","Jaime Arturo Lozano Espín","Mexico","Heimir Hallgrímsson","Iceland",21,33,1.642239601,1,1,0
3939970,"2024-06-22","03:00:00.000",0,0,"available","unscheduled","2024-07-07T15:51:25.411244",NA,1,223,"South America","Copa America",282,"2024",784,"Peru","male",NA,179,"Peru",3562,"Chile","male",NA,45,"Chile","1.1.0","2","2",10,"Group Stage",94424,"AT&T Stadium",241,"United States of America",986,"Wilton Pereira Sampaio",31,"Brazil","Jorge Daniel Fossati Lurachi","Uruguay","Ricardo Alberto Gareca Nardi","Argentina",13,18,1.702039096,0,0,0
3939969,"2024-06-21","03:00:00.000",2,0,"available","unscheduled","2024-07-09T10:26:47.528559",NA,1,223,"South America","Copa America",282,"2024",779,"Argentina","male",NA,11,"Argentina",1833,"Canada","male",NA,40,"Canada","1.1.0","2","2",10,"Group Stage",4673,"Mercedes-Benz Stadium",241,"United States of America",1847,"Jesús Valenzuela Sáez",246,"Venezuela (Bolivarian Republic)","Lionel Sebastián Scaloni","Argentina","Jesse Marsch","United States of America",19,29,4.515590786,2,2,0
